@RELATION BOOKKEEPER1TrainingDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
1,0,0,137,0,0,0,0,0,0,no
1,2,0,244,124,123,62,11,8,5,no
1,20,11,1026,-262,53,-13,187,26,9,yes
1,2,1,92,58,53,29,46,26,23,no
1,0,0,180,0,0,0,0,0,0,no
1,12,7,471,2,59,0,98,26,8,yes
1,4,3,204,51,20,12,27,12,6,yes
1,8,4,551,-505,21,-63,78,20,9,yes
1,5,2,149,-87,30,-17,44,12,8,yes
1,2,1,157,6,4,3,42,26,21,yes
1,0,0,147,0,0,0,0,0,0,no
1,1,1,137,2,2,2,16,16,16,yes
1,1,1,271,11,11,11,15,15,15,yes
1,6,6,548,34,68,5,37,8,6,yes
1,4,3,728,72,62,18,51,26,12,yes
1,3,3,205,11,7,3,20,8,6,yes
1,1,0,50,5,5,5,4,4,4,no
1,3,2,185,-1,1,0,54,26,18,yes
1,1,1,61,4,4,4,12,12,12,no
1,2,1,157,-7,0,-3,32,26,16,yes
1,0,0,81,0,0,0,0,0,0,no
1,0,0,84,0,0,0,0,0,0,no
1,9,6,762,143,65,15,89,26,9,yes
1,5,3,248,64,44,12,51,26,10,yes
1,1,1,169,2,2,2,15,15,15,yes
1,6,5,196,-43,2,-7,86,26,14,yes
1,1,0,67,17,17,17,4,4,4,no
1,2,2,165,4,4,2,31,16,15,yes
1,3,3,173,16,15,5,28,15,9,yes
1,5,4,103,24,14,4,76,26,15,yes
1,1,1,78,1,1,1,16,16,16,yes
1,1,1,87,3,3,3,12,12,12,no
1,0,0,85,0,0,0,0,0,0,no
1,2,2,105,8,9,4,24,16,12,yes
1,3,2,216,60,30,20,18,7,6,yes
1,6,4,377,172,110,28,43,14,7,yes
1,4,3,253,30,23,7,41,26,10,yes
